cell_id	poi_count_total	poi_amenity_count	poi_shop_count	poi_tourism_count	poi_leisure_count	poi_office_count	poi_public_transport_count	poi_log1p_total
3_74	5	4	1	0	0	0	0	1.791759469228055
3_75	6	5	0	0	1	0	0	1.9459101490553132
3_76	2	0	0	2	0	0	0	1.0986122886681098
3_77	23	3	0	18	0	0	2	3.1780538303479458
3_78	0	0	0	0	0	0	0	0.0
3_79	0	0	0	0	0	0	0	0.0
3_80	66	20	5	30	6	0	5	4.204692619390966
3_81	4	2	0	2	0	0	0	1.6094379124341003
3_82	21	5	1	15	0	0	0	3.091042453358316
3_83	3	1	0	2	0	0	0	1.3862943611198906
3_84	1	0	0	1	0	0	0	0.6931471805599453
3_85	0	0	0	0	0	0	0	0.0
3_86	0	0	0	0	0	0	0	0.0
3_87	0	0	0	0	0	0	0	0.0
3_88	0	0	0	0	0	0	0	0.0
3_89	0	0	0	0	0	0	0	0.0
3_90	0	0	0	0	0	0	0	0.0
3_91	1	1	0	0	0	0	0	0.6931471805599453
3_92	1	0	0	0	1	0	0	0.6931471805599453
3_93	18	9	0	0	9	0	0	2.9444389791664403
3_94	11	1	2	0	1	0	7	2.4849066497880004
3_95	17	5	0	0	9	0	3	2.8903717578961645
3_96	45	19	1	10	9	0	6	3.828641396489095
3_97	123	49	14	5	34	1	20	4.820281565605037
3_98	80	35	4	5	31	0	5	4.394449154672439
3_99	9	3	0	1	5	0	0	2.302585092994046
3_100	0	0	0	0	0	0	0	0.0
4_1	0	0	0	0	0	0	0	0.0
4_2	0	0	0	0	0	0	0	0.0
4_3	0	0	0	0	0	0	0	0.0
4_4	0	0	0	0	0	0	0	0.0
4_5	0	0	0	0	0	0	0	0.0
4_6	0	0	0	0	0	0	0	0.0
4_7	0	0	0	0	0	0	0	0.0
4_8	0	0	0	0	0	0	0	0.0
4_9	1	1	0	0	0	0	0	0.6931471805599453
4_10	18	15	1	1	0	1	0	2.9444389791664403
4_11	8	4	2	1	1	0	0	2.1972245773362196
4_12	9	5	0	3	1	0	0	2.302585092994046
4_13	3	3	0	0	0	0	0	1.3862943611198906
4_14	1	0	0	0	1	0	0	0.6931471805599453
4_15	7	7	0	0	0	0	0	2.0794415416798357
4_16	1	1	0	0	0	0	0	0.6931471805599453
4_17	13	10	3	0	0	0	0	2.6390573296152584
4_18	6	5	0	0	1	0	0	1.9459101490553132
4_19	0	0	0	0	0	0	0	0.0
4_20	0	0	0	0	0	0	0	0.0
4_21	0	0	0	0	0	0	0	0.0
4_22	0	0	0	0	0	0	0	0.0
4_23	0	0	0	0	0	0	0	0.0
4_24	0	0	0	0	0	0	0	0.0
4_25	0	0	0	0	0	0	0	0.0
4_26	0	0	0	0	0	0	0	0.0
4_27	0	0	0	0	0	0	0	0.0
4_28	0	0	0	0	0	0	0	0.0
4_29	0	0	0	0	0	0	0	0.0
4_30	0	0	0	0	0	0	0	0.0
4_31	3	2	1	0	0	0	0	1.3862943611198906
4_32	0	0	0	0	0	0	0	0.0
4_33	3	3	0	0	0	0	0	1.3862943611198906
4_34	0	0	0	0	0	0	0	0.0
4_35	5	5	0	0	0	0	0	1.791759469228055
4_36	0	0	0	0	0	0	0	0.0
4_37	0	0	0	0	0	0	0	0.0
4_38	1	0	0	1	0	0	0	0.6931471805599453
4_39	0	0	0	0	0	0	0	0.0
4_40	0	0	0	0	0	0	0	0.0
4_41	0	0	0	0	0	0	0	0.0
4_42	0	0	0	0	0	0	0	0.0
4_43	1	1	0	0	0	0	0	0.6931471805599453
4_44	29	21	1	5	2	0	0	3.4011973816621555
4_45	0	0	0	0	0	0	0	0.0
4_46	0	0	0	0	0	0	0	0.0
4_47	0	0	0	0	0	0	0	0.0
4_48	0	0	0	0	0	0	0	0.0
4_49	0	0	0	0	0	0	0	0.0
4_50	1	1	0	0	0	0	0	0.6931471805599453
4_51	0	0	0	0	0	0	0	0.0
4_52	0	0	0	0	0	0	0	0.0
4_53	0	0	0	0	0	0	0	0.0
4_54	0	0	0	0	0	0	0	0.0
4_55	1	1	0	0	0	0	0	0.6931471805599453
4_56	1	1	0	0	0	0	0	0.6931471805599453
4_57	0	0	0	0	0	0	0	0.0
4_58	0	0	0	0	0	0	0	0.0
4_59	0	0	0	0	0	0	0	0.0
4_60	1	1	0	0	0	0	0	0.6931471805599453
4_61	1	0	0	0	1	0	0	0.6931471805599453
4_62	0	0	0	0	0	0	0	0.0
